Station Name,Code,Line,Service(s),Ridership,Status,Region,CT District,County,City,MPO,RPTA,Address,Latitude,Longitude,Facility Owner,Platform Owner,Track Owner,Setting,Capitol Corridor,San Joaquins,Pacific Surfliner,Caltrain,ACE,SMART,Metrolink,COASTER,Amtrak Long Distance,Tracks,Island Platforms,Side Platforms,Track Crossing,Station ADA Accessibility,Accessible Platform,Shelter Type,Restrooms,Accessible Restrooms,Wifi,ATMs,Food,Real-Time Schedule,Ticket Machines,Staffed,Station Hours,Staffed Hours,Long Term Parking Spaces,Accessible Parking Spaces,Total Parking Spaces,Parking Owner,Class 1,Class 2,Class 3,Other,Total,Planned,Bike Rack Spaces,Bike Locker Spaces,Total Bike Parking,Sidewalks Present,Condition,Crosswalks,Connectivity,Future HSR,Commuter Service,Thruway Bus,Local Rail,Local Bus,Signal Priority/ITS,Link,Fare Transfer,Distance (Ft.) Between Rail Platform/Bus Stop,Population (.5 Miles),Population (1 Miles),Population (3 Miles),Jobs (.5 Miles),Jobs (1 Miles),Jobs (3 Miles),Jobs/Population Ratio (.5 Miles),Jobs/Population Ratio (1 Mile),Jobs/Population Ratio (3 Miles),CalEnviroScreen (Score),CalEnviroScreen (Percentile),Fatalities (Ped),Injuries (Ped),Fatalities (Bike),Injuries (Bike),Score,Category,Score,Category,Primary Land Use(s),TOD,Link,Intersections (1 Mile),Percentile,Intersections (3 Mile),Percentile,Population (1 Mile Catchment),Population (3 Mile Catchment),Jobs (1 Mile Catchment),Jobs (3 Mile Catchment),Population Index (1 Mile Catchment),Population Index (3 Mile Catchment),Jobs Index (1 Mile Catchment),Jobs Index (3 Mile Catchment),Station Website #1,Station Website #2,Station Website #3,Station Website #4,Great American Stations Website,Bike GIS Link,Active Transportation Plan
River Oaks,,VTA,VTA,,Active,,4,Santa Clara,San Jose,Metropolitan Transportation Commission,Metropolitan Transportation Commission,,37.40284689,-121.9400274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,8054.723027,24708.98183,93854.89357,16345,30061,240042,2.029244202,1.216602133,2.557586407,23.17129126,0.394295302,,,,,60,Somewhat Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Cordova Town Center,,SacRT,SacRT,,Active,,3,Sacramento,Rancho Cordova,Sacramento Area Council of Governments,Sacramento Area Council of Governments,,38.598756,-121.282836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,23,SacRT,,,,,,,,,,,,,,,,,,,,,,,3877.400398,15016.36505,75465.57136,4069,18714,60045,1.049414448,1.246240348,0.795660841,31.48360336,0.597315436,,,,,78,Very Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Stockton-San Joaquin,SKN,SJJPA,San Joaquins,,Active,,10,San Joaquin,Stockton,San Joaquin Council of Governments,San Joaquin Council of Governments,735 S. San Joaquin St.,37.945278,-121.285556,BNSF,BNSF,,,,Bi-hourly,,,,,,,,2,1,1,Grade,,Yes,Building,Yes,Yes,No,No,,Yes,Machines Available,Yes,6:45am - 9:45pm,6:45am - 9:45pm,22,2,24,BNSF,,2.50321104,9.606728721,,12.10993976,18.87817192,,,,Yes,Poor,No,Fair,No,None,Yes,None,Yes,Yes,http://stockton.granicus.com/MetaViewer.php?view_id=48&clip_id=3553&meta_id=307044,No,380,4864.698506,16732.0713,130303.6272,2024,21728,55594,0.416058672,1.298583995,0.426649674,73.28617818,1,29,320,21,680,80,Very Walkable,,,,,,554,0.889830508,3030,0.627118644,11795.75141,81120.58318,16584,44667,0.704978553,0.622550461,0.763254786,0.803450013,https://amtraksanjoaquins.com/stations-schedules/stockton-sanjoaquin-ca/,,,,https://www.greatamericanstations.com/stations/stockton-san-joaquin-street-station-ca-skn/,,
Grover Beach,GVB,LOSSAN,Pacific Surfliner,,Active,,5,San Luis Obispo,Grover Beach,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,150 Highway 1 at Grand Ave.,35.1213,-120.6292,City of Grover Beach,UPRR,,,,,< Bi-hourly,,,,,,,2,,1,N/A,,Yes,Shelter,No,No,No,No,,Yes,Machines Available,No,NA,NA,24,2,26,City of Grover Beach,,6.653225235,3.248523265,,9.901748501,2.345567389,2,,2,Yes,Good,Yes,Fair,No,None,Yes,None,Yes,No,,Yes (South County Transit),500,2199.77713,9634.469259,40066.60681,843,3592,13163,0.38322064,0.37282801,0.328527945,14.90638988,0.137583893,2,38,1,192,77,Very Walkable,,,,,,290,0.296610169,1214,0.245762712,5132.446318,33638.50311,2587,11356,0.532717079,0.83956456,0.720211581,0.862721264,https://www.pacificsurfliner.com/destinations/grover-beach/,,,,https://www.greatamericanstations.com/stations/grover-beach-ca-gvb/,,
Goleta,GTA,LOSSAN,Pacific Surfliner,,Active,,5,Santa Barbara,Goleta,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,North End of South Patera Lane,34.4377,-119.8431,Amtrak,Amtrak,,,,,< Bi-hourly,,,,,,,1,,1,N/A,,Yes,Shelter,Yes,Yes,No,No,,Yes,Machines Available,No,NA,NA,25,2,27,City of Goleta,,,,,,,15,11,26,Yes,Fair,No,Poor,No,None,No,None,No ,No,,Yes (Santa Barbara Metropolitan Transit District),N/A,776.2798103,6075.440249,68565.75944,2651,6603,30919,3.41500573,1.086834818,0.450939365,6.216801734,0.011744966,2,24,1,471,20,Car-Dependent,,,,,,236,0.186440678,1267,0.254237288,297.685321,44331.97024,2287,22318,0.048998148,0.646561354,0.346357716,0.721821534,https://www.pacificsurfliner.com/destinations/goleta/,,,,https://www.greatamericanstations.com/stations/goleta-ca-gta/,,
Guadalupe,GUA,LOSSAN,Pacific Surfliner,,Active,,5,Santa Barbara,Guadalupe,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,330 Guadalupe St. (HWY 1),34.9629,-120.5733,UPRR,UPRR,,,,,< Bi-hourly,,,,,,,2,,1,N/A,,Yes,Building,No,No,No,No,,Yes,Machines Available,No,24-hours,NA,26,2,28,UPRR,,,,,,,,,,Yes,Poor,No,Poor,No,None,No,None,Yes,No,,Yes (Guadalupe Flyer),175,3818.460138,6208.321829,7230.345347,932,1298,1464,0.244077446,0.209074213,0.202479955,37.01803984,0.69295302,0,8,0,10,57,Somewhat Walkable,,,,,,128,0.076271186,196,0.016949153,3272.613877,4680.856368,674,1308,0.527133413,0.647390428,0.519260401,0.893442623,https://www.pacificsurfliner.com/destinations/guadalupe/,,,,https://www.greatamericanstations.com/stations/guadalupe-santa-maria-ca-gua/,,
4th Avenue/Wayne Hultgren,,SacRT,SacRT,,Active,,3,Sacramento,Sacramento,Sacramento Area Council of Governments,Sacramento Area Council of Governments,,38.551483,-121.488161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2,29,City of Sacramento,,,,,,,,,,,,,,,,,,,,,,,4869.185134,18179.53881,147528.527,2714,11534,171187,0.557382791,0.634449538,1.160365412,23.81274123,0.409395973,,,,,84,Very Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Douglas Station,,Metro,Metro,,Active,,7,Los Angeles,El Segundo,Southern California Association of Governments,Southern California Association of Governments,,33.905299,-118.383113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,1173.197905,9507.132436,240286.3475,13148,36635,173029,11.20697535,3.853422706,0.720095011,12.20986602,0.08557047,,,,,55,Somewhat Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Madera,MDR,SJJPA,San Joaquins,,Active,,6,Madera,Unincorporated,Madera County Transportation Commission,Madera County Transportation Commission,18770 Road 26,37.0225,-120.075,Madera County,BNSF/Madera County,,,,Bi-hourly,,,,,,,,1,,1,N/A,,Yes,Shelter,Yes,Yes,No,No,,Yes,Machines Available,No,NA,NA,30,2,32,Madera County,,,,,,4.324681203,,,,No,N/A,No,Poor,Yes,None,No,None,No,No,,No,N/A,1364.787107,4242.318219,16504.88376,64,329,2255,0.046893761,0.077551938,0.136626227,40.73748628,0.758389262,1,2,2,10,0,Car-Dependent,30,Somewhat Bikeable,,Opportunity Identified,https://sjjpa.com/wp-content/uploads/Madera-Station-Relocation_May-2020_FINAL.pdf,118,0.059322034,495,0.076271186,2582.781404,9688.13257,85,648,0.608813689,0.58698581,0.258358663,0.287361419,https://amtraksanjoaquins.com/stations-schedules/madera/,,,,https://www.greatamericanstations.com/stations/madera-ca-mdr/,,
Ontario,ONA,"Sunset Limited, Texas Eagle",Amtrak Long Distance,,Active,,8,San Bernardino,Ontario,Southern California Association of Governments,Southern California Association of Governments,198 East Emporia Street,34.0617,-117.6496,City of Ontario,Union Pacific,,,,,,,,,,,< Bi-hourly,2,,1,N/A,,Yes,Shelter,No,No,,,,,,,N/A,,34,1,35,City of Ontario,,0.46024813,14.96587408,,15.42612221,13.68068774,,,,Yes,Good,Yes,Good,No,No,Yes,No,Yes (Omnitrans),,,,1220,5944.67624,28573.04845,195841.737,2797,6294,63146,0.470505018,0.220277511,0.322433823,67.16858031,0.991610738,12,133,10,691,77,Very Walkable,,,,,,508,0.822033898,3130,0.652542373,16714.42243,131964.5504,5038,36153,0.584971619,0.673832619,0.800444868,0.572530327,https://www.amtrak.com/stations/ona,,,,https://www.greatamericanstations.com/stations/ontario-ca-ona/,,
