Station Name,Code,Line,Service(s),Ridership,Status,Region,CT District,County,City,MPO,RPTA,Address,Latitude,Longitude,Facility Owner,Platform Owner,Track Owner,Setting,Capitol Corridor,San Joaquins,Pacific Surfliner,Caltrain,ACE,SMART,Metrolink,COASTER,Amtrak Long Distance,Tracks,Island Platforms,Side Platforms,Track Crossing,Station ADA Accessibility,Accessible Platform,Shelter Type,Restrooms,Accessible Restrooms,Wifi,ATMs,Food,Real-Time Schedule,Ticket Machines,Staffed,Station Hours,Staffed Hours,Long Term Parking Spaces,Accessible Parking Spaces,Total Parking Spaces,Parking Owner,Class 1,Class 2,Class 3,Other,Total,Planned,Bike Rack Spaces,Bike Locker Spaces,Total Bike Parking,Sidewalks Present,Condition,Crosswalks,Connectivity,Future HSR,Commuter Service,Thruway Bus,Local Rail,Local Bus,Signal Priority/ITS,Link,Fare Transfer,Distance (Ft.) Between Rail Platform/Bus Stop,Population (.5 Miles),Population (1 Miles),Population (3 Miles),Jobs (.5 Miles),Jobs (1 Miles),Jobs (3 Miles),Jobs/Population Ratio (.5 Miles),Jobs/Population Ratio (1 Mile),Jobs/Population Ratio (3 Miles),CalEnviroScreen (Score),CalEnviroScreen (Percentile),Fatalities (Ped),Injuries (Ped),Fatalities (Bike),Injuries (Bike),Score,Category,Score,Category,Primary Land Use(s),TOD,Link,Intersections (1 Mile),Percentile,Intersections (3 Mile),Percentile,Population (1 Mile Catchment),Population (3 Mile Catchment),Jobs (1 Mile Catchment),Jobs (3 Mile Catchment),Population Index (1 Mile Catchment),Population Index (3 Mile Catchment),Jobs Index (1 Mile Catchment),Jobs Index (3 Mile Catchment),Station Website #1,Station Website #2,Station Website #3,Station Website #4,Great American Stations Website,Bike GIS Link,Active Transportation Plan
70th Street,,MTS Trolley,MTS Trolley,,Active,,11,San Diego,La Mesa,San Diego Association of Governments,San Diego Association of Governments,"7255 Alvarado Road La Mesa, CA",32.772,-117.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,125,,,,,,,,,,,,,,,,,,,,,,,,6940.175695,24061.98253,187483.5642,2683,6814,59584,0.386589637,0.283185311,0.317809192,20.79069789,0.325503356,,,,,55,Somewhat Walkable,27,Somewhat Bikeable,,,,,,,,,,,,,,,,,,,,,,
Heritage Square / Arroyo Station,,Metro,Metro,,Active,,7,Los Angeles,Los Angeles,Southern California Association of Governments,Southern California Association of Governments,,34.087227,-118.213213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,129,,,,,,,,,,,,,,,,,,,,,,,,8582.825057,32066.28047,308183.5105,1478,6255,210587,0.172204372,0.195064719,0.683316897,48.32004465,0.852348993,,,,,78,Very Walkable,,,,,,,,,,,,,,,,,,,,,,,,
47th Street,,MTS Trolley,MTS Trolley,,Active,,11,San Diego,San Diego,San Diego Association of Governments,San Diego Association of Governments,"350 47th Street, San Diego, California United States",32.70771,-117.093632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,129,,,,,,,,,,,,,,,,,,,,,,,,7934.886475,30117.7933,273936.263,1283,4818,46188,0.161691034,0.159971879,0.168608564,38.33726455,0.714765101,,,,,71,Very Walkable,30,Somewhat Bikeable,,,,,,,,,,,,,,,,,,,,,,
Beyer Boulevard,,MTS Trolley,MTS Trolley,,Active,,11,San Diego,San Diego,San Diego Association of Governments,San Diego Association of Governments,"4035 Beyer Boulevard, San Diego, California United States",32.558246,-117.047203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,131,,,,,,,,,,,,,,,,,,,,,,,,9874.438509,25844.74405,115968.6651,1315,4739,18265,0.133172129,0.183364168,0.157499442,33.9690738,0.645973154,,,,,70,Very Walkable,49,Somewhat Bikeable,,,,,,,,,,,,,,,,,,,,,,
Davis,DAV,"CCJPA, California Zephyr, Coast Starlight","Capitol Corridor, Amtrak Long Distance",,Active,,3,Yolo,Davis,Sacramento Area Council of Governments,Sacramento Area Council of Governments,840 2nd St.,38.543611,-121.736667,City of Davis,UPRR,,,Hourly,,,,,,,,< Bi-hourly,2,1,1,Grade,,Yes,Building,Yes,Yes,No,Yes,,Yes,2 Machines,Yes,5:30am - 11:40pm,5:30am - 11:40pm,135,5,140,City of Davis,14.13627007,25.47875308,0.16352906,0.081033795,39.859586,,199,24,223,Yes,Good,Yes,Good,No,None,Yes,None,Yes,Studied,https://www.transitwiki.org/TransitWiki/images/6/6c/UCDavis_Transit_Signal_Priority_Report_2011.pdf,"Yes (Unitrans, Yolobus)",400,4345.805921,16999.19146,68651.41842,4375,7207,29120,1.006717759,0.423961341,0.424171862,21.74708889,0.354026846,0,64,0,685,88,Very Walkable,,,,,,392,0.533898305,1597,0.330508475,9442.144664,58731.61623,5187,26422,0.555446692,0.855504774,0.719716942,0.907348901,https://www.capitolcorridor.org/stations/davis/,,,,https://www.greatamericanstations.com/stations/davis-ca-dav/,,
Commerce,,,Metrolink,,Active,,7,Los Angeles,Commerce,Southern California Association of Governments,Southern California Association of Governments,6433 26th Street,33.990556,-118.143333,City of Commerce,,,,,,,,,,,,,4,1,1,Grade,,,None,No,,,,,,Machines Available,,,,135,5,140,,,,,,,13.54506314,6,,6,No,N/A,No,Poor,,,,,"Yes (Metro Buses, Montebello Bus Lines, City of Commerce Buses)",,,,130,919.0846532,3928.997269,265371.3217,7324,26135,127177,7.968798058,6.651824426,0.479241687,65.27021977,0.989932886,7,17,7,1098,13,Car-Dependent,,,,,,164,0.127118644,3622,0.805084746,467.0063993,101511.691,3129,78694,0.118861472,0.382526983,0.119724507,0.618775408,https://metrolinktrains.com/rider-info/general-info/stations/commerce/,,,,,,
Martinez,MTZ,,"Capitol Corridor, San Joaquins, Amtrak Long Distance",,Active,,4,Contra Costa,Martinez,Metropolitan Transportation Commission,Metropolitan Transportation Commission,601 Marina Vista Dr.,38.019292,-122.138754,City of Martinez,UPRR,,,Hourly,Bi-hourly,,,,,,,< Bi-hourly,4,1,1,Grade/Bridge,,Yes,Building,Yes,Yes,No,No,,Yes,1 Machine,Yes,6:30am-11:30pm,6:30am-11:30pm,136,6,142,City of Martinez,,8.088504236,0.357216639,,8.445720876,,7,8,15,Yes,Fair,Yes,Good,No,None,Yes,None,Yes,No,,"Yes (The County Connection, Tri Delta Transit, WestCAT)",300,1429.27323,5205.493213,33773.79943,5409,9882,24777,3.784440852,1.898379192,0.733616011,27.27036217,0.511744966,1,33,1,97,76,Very Walkable,,,,,,275,0.288135593,1344,0.279661017,3574.242234,19820.82191,5744,18718,0.68662893,0.58686977,0.581258854,0.755458692,https://www.capitolcorridor.org/stations/martinez/,,,,https://www.greatamericanstations.com/stations/martinez-ca-mtz/,,
San Bernardino,,,Metrolink,,Active,,8,San Bernardino,San Bernardino,Southern California Association of Governments,Southern California Association of Governments,174 South E Street,34.1,-117.295278,City of San Bernardino,,,,,,,,,,,,,4,1,2,Grade,,,Building/Shelter,Yes,,,,,,Machines Available,,,,130,14,144,,1.299730961,,,,1.299730961,39.54421335,Yes,Yes,,Yes,Good,Yes,Good,No,,,,"Yes (Omnitrans, sbx Express, OmniGo circulator, Access ADA, Riverside Transit Agency)",,,,230,924.3847892,10293.07399,135541.9535,4747,25602,92229,5.135307348,2.487303601,0.680446147,70.37320435,0.996644295,10,120,3,390,54,Somewhat Walkable,,,,,,357,0.415254237,2773,0.56779661,5433.756121,87645.05379,23630,63593,0.527904116,0.646626757,0.922974768,0.689511976,https://metrolinktrains.com/rider-info/general-info/stations/san-bernardino-downtown/,,,,,,
Fairfield-Vacaville,FFV,CCJPA,Capitol Corridor,,Active,,4,Solano,Fairfield,Metropolitan Transportation Commission,Metropolitan Transportation Commission,4921 Vanden Road,38.285443,-121.967967,City of Fairfield,City of Fairfield,,,Hourly,,,,,,,,,3,1,,Tunnel,,Yes,Shelter,No,No,No,No,,Yes,1 Machine,No,NA,NA,139,5,144,City of Fairfield,,13.49635825,,,13.49635825,,8,16,24,Yes,Excellent,Yes,Fair,No,None,No,None,Yes,Maybe?,https://www.fairfield.ca.gov/gov/depts/pw/fairfield_vacaville_train_station_and_peabody_road_improvements.asp,Yes (Fairfield and Suisun Transit),450,540.8810205,2095.935574,46588.74046,742,1252,9396,1.371835897,0.597346605,0.201679631,27.3218262,0.515100671,0,5,1,36,10,Car-Dependent,,,,Yes,https://www.fairfield.ca.gov/gov/depts/cd/planning/train_station_specific_plan_document.asp,150,0.101694915,1213,0.237288136,617.5788133,14710.88224,790,3943,0.294655437,0.315760463,0.630990415,0.419646658,https://www.capitolcorridor.org/stations/fairfieldvacaville/,,,,https://www.greatamericanstations.com/stations/fairfield-vacaville-ca-ffv/,,
San Clemente,SNP,,Metrolink,,Active,,12,Orange,San Clemente,Southern California Association of Governments,Southern California Association of Governments,1850 Avenida Estacion,33.432,-117.6328,City of San Clemente,,,,,,,,,,,,,1,,1,N/A,,,Shelter,Yes,,,,,,Machines Available,,,,142,13,145,,3.047610433,9.586765997,3.38331403,,16.01769046,9.584189729,Yes,Yes,,Yes,Fair,Yes,Good,,,,,Yes (Orange County Transportation Authority),,,,850,2378.759757,8767.934199,53433.05901,639,2473,18749,0.26862738,0.282050474,0.350887641,14.54132321,0.130872483,4,47,2,140,48,Car-Dependent,,,,,,250,0.228813559,1735,0.381355932,5205.124384,35632.92881,1760,14191,0.59365459,0.666870463,0.711686211,0.756893701,https://metrolinktrains.com/rider-info/general-info/stations/san-clemente/,,,,,,
San Clemente Pier,SNP,LOSSAN,"Pacific Surfliner, Metrolink",,Active,,12,Orange,San Clemente,Southern California Association of Governments,Southern California Association of Governments,Municipal Pier,33.419167,-117.619444,City of San Clemente,OCTA,,,,,< Bi-hourly,,,,,,,1,,1,N/A/Tunnel,,Yes,None,No,No,No,No,,Yes,0 Machines,No,NA,NA,144,2,146,City of San Clemente/Metrolink,3.047610433,9.586765997,3.38331403,,16.01769046,9.584189729,,,,Yes,Good,Yes,Good,No,Metrolink,No,None,Yes,No,,Yes (Orange County Transportation Authority San Clemente Trolly),170,4365.627258,15139.58429,40914.52552,746,3656,15813,0.17088037,0.241486155,0.386488657,15.31101468,0.157718121,2,81,2,120,33,Car-Dependent,,,,,,351,0.389830508,1332,0.271186441,8897.721271,24086.1176,2507,7169,0.58771239,0.588693558,0.685722101,0.453361159,https://www.pacificsurfliner.com/destinations/san-clemente/,https://metrolinktrains.com/rider-info/general-info/stations/san-clemente-pier/,,,https://www.greatamericanstations.com/stations/san-clemente-ca-snp/,,
Slauson Station,,Metro,Metro,,Active,,7,Los Angeles,Unincorporated,Southern California Association of Governments,Southern California Association of Governments,,33.98876,-118.243398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,150,,,,,,,,,,,,,,,,,,,,,,,,11349.1623,49882.68184,455385.3317,2132,11444,125804,0.187855275,0.229418299,0.276258349,55.38280547,0.94295302,,,,,67,Somewhat Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Menlo Park,MPK,,Caltrain,,Active,,4,San Mateo,Menlo Park,Metropolitan Transportation Commission,Metropolitan Transportation Commission,1120 Merrill St.,37.454607,-122.182526,,,PCJPB,,,,,Peak hour/direction,,,,,,2,,1,Grade,Yes*,,Shelter,,,,,,,4 Machines,,,,150,5,155,,2.393419495,16.54592822,55.26134343,,74.20069115,,8,50,,Yes,Good,Yes,Good,,Yes,,,Yes,,,,340,5103.03399,15318.30611,165986.4112,8451,13499,103518,1.656073625,0.881233206,0.623653462,6.104997014,0.010067114,3,104,5,1494,94,Walker's Paradise,,,,,,409,0.584745763,3660,0.838983051,10912.69582,111977.6455,10745,78234,0.712395727,0.674619354,0.795984888,0.755752623,https://www.caltrain.com/stations/menloparkstation.html,,,,,,
Fillmore Station,,Metro,Metro,,Active,,7,Los Angeles,Pasadena,Southern California Association of Governments,Southern California Association of Governments,,34.133521,-118.148126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,155,,,,,,,,,,,,,,,,,,,,,,,,6051.932656,25211.61171,223019.2668,13753,38210,113766,2.272497197,1.515571493,0.510117362,16.78593464,0.213087248,,,,,90,Very Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Vermont / Athens Station,,Metro,Metro,,Active,,7,Los Angeles,Unincorporated,Southern California Association of Governments,Southern California Association of Governments,,33.928683,-118.291733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,155,,,,,,,,,,,,,,,,,,,,,,,,10565.84013,39466.5625,351350.4882,709,3316,76213,0.067103041,0.084020492,0.216914456,54.80052831,0.941275168,,,,,69,Somewhat Walkable,,,,,,,,,,,,,,,,,,,,,,,,
24th Street,,MTS Trolley,MTS Trolley,,Active,,11,San Diego,National City,San Diego Association of Governments,San Diego Association of Governments,"506 West 22nd Street, National City, California United States",32.662287,-117.107382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,156,,,,,,,,,,,,,,,,,,,,,,,,2942.394271,15176.45302,159819.3519,7209,13170,54626,2.450045553,0.867791702,0.341798408,47.68586821,0.840604027,,,,,56,Somewhat Walkable,54,Bikeable,,,,,,,,,,,,,,,,,,,,,,
Anaheim Canyon,,,Metrolink,,Active,,12,Orange,Anaheim,Southern California Association of Governments,Southern California Association of Governments,1039 North Pacificenter Drive,33.8542,-117.8406,City of Anaheim,,,,,,,,,,,,,1,,1,N/A,,,Shelter,No,,,,,,Machines Available,,,,149,8,157,,7.948620481,8.218499628,1.54807971,,17.71519982,18.05363245,,8,8,Yes,Good,No,Poor,No,,,,"Yes (Orange County Transportation Authority, Anaheim Resort Transportation)",,,,380,738.596359,7823.482859,151973.0263,9795,23104,112759,13.26164133,2.95316043,0.741967195,31.10172404,0.582214765,2,12,3,490,30,Car-Dependent,,,,,,267,0.271186441,3655,0.830508475,1925.484356,91381.55925,15871,79849,0.246116006,0.601301175,0.686937327,0.708138596,https://metrolinktrains.com/rider-info/general-info/stations/anaheim-canyon/,,,,,,
Encanto/62nd Street,,MTS Trolley,MTS Trolley,,Active,,11,San Diego,San Diego,San Diego Association of Governments,San Diego Association of Governments,"6249 Akins Avenue, San Diego, California United States",32.710251,-117.063247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,158,,,,,,,,,,,,,,,,,,,,,,,,7278.415741,23580.90307,258771.4789,624,1404,30637,0.085732943,0.059539704,0.118394037,24.40193285,0.426174497,,,,,54,Somewhat Walkable,27,Somewhat Bikeable,,,,,,,,,,,,,,,,,,,,,,
Avalon Station,,Metro,Metro,,Active,,7,Los Angeles,Los Angeles,Southern California Association of Governments,Southern California Association of Governments,,33.927465,-118.265217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,160,,,,,,,,,,,,,,,,,,,,,,,,11648.82052,42592.19614,385748.2212,935,3270,62692,0.080265637,0.076774628,0.162520516,57.16993339,0.954697987,,,,,49,Car-Dependent,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,,SacRT,SacRT,,Active,,3,Sacramento,Folsom,Sacramento Area Council of Governments,Sacramento Area Council of Governments,,38.662931,-121.183597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,165,SacRT,,,,,,,,,,,,,,,,,,,,,,,1000.502287,7910.214897,76819.15171,3467,6875,38593,3.465259447,0.869129359,0.50238774,11.60364989,0.07885906,,,,,33,Car-Dependent,,,,,,,,,,,,,,,,,,,,,,,,
San Martin,SMR,,Metrolink,,Active,,4,Santa Clara,Unincorporated,Metropolitan Transportation Commission,Metropolitan Transportation Commission,13400 Monterey Hwy.,37.085833,-121.610556,,,,,,,,,,,,,,1,,1,Grade,Yes,,Shelter,,,,,,,2 Machines,,,,167,,167,,,,,,,,,,,Yes,Fair,Yes,Poor,,Yes,,,Yes,,,,120,253.8815221,1777.335311,19854.23577,303,595,7724,1.193470078,0.33477082,0.389035372,26.17125408,0.481543624,1,7,1,31,39,Car-Dependent,,,,,,82,0.042372881,654,0.110169492,616.3325212,11581.56161,308,4563,0.346773351,0.583329509,0.517647059,0.590756085,https://www.caltrain.com/stations/sanmartinstation.html,,,,,,
Fremont-Centerville,FMT,"CCJPA, ACE","Capitol Corridor, ACE",,Active,,4,Alameda,Fremont,Metropolitan Transportation Commission,Metropolitan Transportation Commission,37260 Fremont Blvd. ,37.559097,-122.007176,City of Fremont/UPRR,UPRR,,,Bi-hourly,,,,Peak hour/direction,,,,,2,,2,Grade,Yes,Yes,Building,Yes,Yes,No,No,,Yes,1 Machine,Yes,6:30am-8:30pm,N/A,163,7,170,City of Fremont,14.5459926,15.44672827,2.723008555,,32.71572942,,6,8,14,Yes,Fair,No,Good,No,ACE,Yes,No,Yes (not close),Yes,http://www.actransit.org/rapid-corridors/,"Yes (CC to AC Transit, except Transit Transbay Service)",270,7690.512391,27624.46562,211864.0631,1963,3738,60304,0.255249572,0.135314835,0.284635342,20.46251136,0.317114094,4,116,4,562,88,Very Walkable,,,,,,533,0.86440678,4394,0.957627119,18272.06354,144067.8781,3115,35762,0.661444959,0.680001488,0.833333333,0.593028655,https://www.capitolcorridor.org/stations/fremontcenterville/,https://acerail.com/stations/,,,https://www.greatamericanstations.com/stations/fremont-ca-fmt/,,
Millbrae Transit Center,MIL,,Caltrain,,Active,,4,San Mateo,Millbrae,Metropolitan Transportation Commission,Metropolitan Transportation Commission,"100 California Drive, Millbrae 94030",37.6003,-122.3867,,,PCJPB,,,,,Peak hour/direction,,,,,,2,,2,Bridge,Yes*,,Shelter,,,,,,,6 Machines,,,,175,,175,,3.329597457,,30.45081842,,33.78041588,,28,44,,Yes,Good,Yes,Fair,,Yes,,,Yes,,,,200,4835.903447,16973.23978,85871.07077,4659,21799,70745,0.963418739,1.284315799,0.823851378,12.71510596,0.088926174,7,137,4,266,76,Very Walkable,,,,,,349,0.381355932,1810,0.389830508,7049.553889,60619.05073,12938,49590,0.41533343,0.705930998,0.593513464,0.700968266,https://www.caltrain.com/stations/millbraetransitcenter.html,,,,,,
Gillespie Field,,MTS Trolley,MTS Trolley,,Active,,11,San Diego,El Cajon,San Diego Association of Governments,San Diego Association of Governments,N. Marshall Ave and Cuyamaca St,32.8271,-116.9821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,175,,,,,,,,,,,,,,,,,,,,,,,,1861.166216,9137.827801,142705.5954,6044,12154,55006,3.247426237,1.330075404,0.385450899,31.4273589,0.593959732,,,,,41,Car-Dependent,38,Somewhat Bikeable,,,,,,,,,,,,,,,,,,,,,,
Santa Clara Great America,GAC,"CCJPA, ACE","Capitol Corridor, ACE",,Active,,4,Santa Clara,Santa Clara,Metropolitan Transportation Commission,Metropolitan Transportation Commission,5099 Stars & Stripes Dr.,37.406645,-121.96688,City of Santa Clara,UPRR,,,Bi-hourly,,,,Peak hour/direction,,,,,1,,1,N/A,Yes,Yes,Shelter,No,No,No,No,,Yes,2 Machines,No,NA,NA,175,8,183,City of Santa Clara,2.49771437,15.55094377,1.279896477,,19.32855462,,4,48,52,Yes,Fair,No,Fair,No,ACE,Yes,VTA (not close),Yes,No,,Yes (VTA buses),50,3285.56071,15980.67446,90025.091,3432,17225,180457,1.044570563,1.077864395,2.00451894,24.8524103,0.432885906,1,37,5,241,44,Car-Dependent,,,,,,302,0.305084746,2125,0.457627119,7090.812012,55393.25893,3183,99355,0.443711686,0.615309113,0.18478955,0.550574375,https://www.capitolcorridor.org/stations/santa-clara-great-america/,https://acerail.com/stations/,,,https://www.greatamericanstations.com/stations/santa-clara-great-america-ca-gac/,,
California Ave.,CAL,,Caltrain,,Active,,4,Santa Clara,Palo Alto,Metropolitan Transportation Commission,Metropolitan Transportation Commission,101 California Ave.,37.428889,-122.141389,,,PCJPB,,,,,Peak hour/direction,,,,,,2,,2,Tunnel,Yes,,Shelter,,,,,,,3 Machines,,,,185,,185,,0.658545483,22.73239775,7.526318316,,30.91726155,,33,42,,Yes,Good,Yes,Poor,,Yes,,,Yes (VTA),,,,200,5401.225673,21828.33356,148549.358,7831,18318,150410,1.449856102,0.839184537,1.012525413,8.063170307,0.02852349,3,86,4,1517,95,Walker's Paradise,,,,,,533,0.86440678,3238,0.669491525,9833.821587,101394.9528,10089,116773,0.450507207,0.682567425,0.550769735,0.776364603,https://www.caltrain.com/stations/californiaavenuestation.html,,,,,,
San Bruno,SBR,,Caltrain,,Active,,4,San Mateo,San Bruno,Metropolitan Transportation Commission,Metropolitan Transportation Commission,833 San Mateo Ave.,37.630556,-122.411667,,,PCJPB,,,,,Peak hour/direction,,,,,,2,,2,Tunnel,Yes*,,Shelter,,,,,,,4 Machines,,,,178,7,185,,4.499166062,,17.68543885,,22.18460491,,7,40,,Yes,Fair,Yes,Fair,,Yes,,,Yes (Samtrans),,,,920,7939.113232,18459.58721,123844.1776,4807,20530,91306,0.60548324,1.112159214,0.737265181,27.53281376,0.523489933,7,159,1,293,92,Walker's Paradise,,,,,,457,0.711864407,2494,0.525423729,14700.10294,87543.59616,15590,60478,0.796339743,0.706885038,0.759376522,0.66236611,https://www.caltrain.com/stations/sanbrunostation.html,,,,,,
San Juan Capistrano,SNC,LOSSAN,"Pacific Surfliner, Metrolink",,Active,,12,Orange,San Juan Capistrano,Southern California Association of Governments,Southern California Association of Governments,26701 Verdugo St.,33.5023,-117.6641,City of San Juan Capistrano,City of San Juan Capistrano,,,,,Hourly,,,,,,,1,,1,N/A/Grade,,Yes,Building,Yes,Yes,No,No,,?,Machines Available,Yes,7:00am - 3:00pm,7:00am - 3:00pm,179,8,187,City of San Juan Capistrano/Metrolink,10.97079726,8.789777533,0.512183355,,20.27275815,7.220456365,,,,Yes,Good,Yes,Excellent,No,Metrolink,Yes,None,No (close by though),No,,Yes (Orange County Transportation Authority Buses),830,3920.26233,13547.54286,97478.88443,3244,6454,23348,0.827495644,0.476396352,0.239518539,23.93088808,0.41442953,2,56,0,143,82,Very Walkable,,,,,,430,0.618644068,3114,0.644067797,7965.051183,33899.07536,3763,15032,0.58793327,0.347758138,0.583049272,0.643823882,https://www.pacificsurfliner.com/destinations/san-juan-capistrano/,https://metrolinktrains.com/rider-info/general-info/stations/san-juan-capistrano/,,,https://www.greatamericanstations.com/stations/san-juan-capistrano-ca-snc/,,
Great America,,VTA,VTA,,Active,,4,Santa Clara,Santa Clara,Metropolitan Transportation Commission,Metropolitan Transportation Commission,,37.40346833,-121.9749084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,1024.968758,9393.721129,106452.2112,9017,21796,178062,8.797341309,2.320273266,1.672694236,24.63006152,0.429530201,,,,,29,Car-Dependent,,,,,,,,,,,,,,,,,,,,,,,,
Iris Avenue,,MTS Trolley,MTS Trolley,,Active,,11,San Diego,San Diego,San Diego Association of Governments,San Diego Association of Governments,"3120 Iris Avenue, San Diego, California United States",32.569097,-117.066101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,192,,,,,,,,,,,,,,,,,,,,,,,,9276.298762,38864.40403,162496.4741,1642,3423,31499,0.177010254,0.088075453,0.193844206,27.50557011,0.521812081,,,,,58,Somewhat Walkable,41,Somewhat Bikeable,,,,,,,,,,,,,,,,,,,,,,
San Antonio,SAT,,Caltrain,,Active,,4,Santa Clara,Mountain View,Metropolitan Transportation Commission,Metropolitan Transportation Commission,190 Showers Drive,37.407222,-122.106944,,,PCJPB,,,,,Peak hour/direction,,,,,,2,,2,Tunnel,Yes,,Shelter,,,,,,,4 Machines,,,,199,,199,,1.184522673,22.16891974,9.029773884,,32.3832163,,18,38,,Yes,Good,Yes,Fair,,Yes,,,Yes,,,,360,9159.648043,33924.70478,138554.7849,4055,13447,149330,0.4427026,0.396377805,1.077768625,11.53597344,0.075503356,4,84,1,1207,83,Very Walkable,,,,,,496,0.813559322,3342,0.694915254,19662.51223,112528.94,9077,96525,0.579592729,0.812162063,0.675020451,0.646387196,https://www.caltrain.com/stations/sanantoniostation.html,,,,,,
Morena/Linda Vista,,MTS Trolley,MTS Trolley,,Active,,11,San Diego,San Diego,San Diego Association of Governments,San Diego Association of Governments,"Napa Street & Gaines Street San Diego, CA 92110",32.763558,-117.196142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,199,,,,,,,,,,,,,,,,,,,,,,,,4345.344788,14538.07918,145625.1538,5595,21638,118496,1.287584823,1.488367186,0.813705578,16.9125636,0.22147651,,,,,74,Very Walkable,81,Very Bikeable,,,,,,,,,,,,,,,,,,,,,,
Bakersfield,BFD,SJJPA,San Joaquins,,Active,,6,Kern,Bakersfield,Kern Council of Governments,Kern Council of Governments,601 Truxton Ave.,35.372222,-119.009722,City of Bakersfield,City of Bakersfield,,,,Bi-hourly,,,,,,,,3,1,1,Grade,,Yes,Building,Yes,Yes,No,Yes,,Yes,Machines Available,Yes,3:45am - 10:30pm,3:45am - 10:30pm,200,6,206,City of Bakersfield,,8.8715561,6.187153237,,15.05870934,8.544200955,,,,Yes,Fair,Yes,Fair,No,None,Yes,None,Yes,No,https://www.getbus.org/wp-content/uploads/2016/07/long-range-plan-final-report_2.pdf,No,150,2171.042625,11987.3807,130592.8733,9222,21093,69373,4.247728669,1.75960041,0.531215818,53.52400433,0.92114094,31,274,15,678,67,Somewhat Walkable,,,,Opportunity Identified,https://sjjpa.com/wp-content/uploads/2020-SJJPA-Business-Plan-Update_Final-1.pdf,660,0.974576271,3354,0.703389831,4323.73463,84809.96179,14568,44425,0.360690524,0.649422588,0.690655668,0.640378822,https://amtraksanjoaquins.com/stations-schedules/bakersfield/,,,,https://www.greatamericanstations.com/stations/bakersfield-ca-bfd/,,
Hayward Park,HPK,,Caltrain,,Active,,4,San Mateo,San Mateo,Metropolitan Transportation Commission,Metropolitan Transportation Commission,401 Concar Drive,37.553333,-122.309444,,,PCJPB,,,,,Peak hour/direction,,,,,,2,,2,Grade,Yes,,Shelter,,,,,,,4 Machines,,,,213,,213,,0.164428878,4.648218386,25.64656096,,30.45920823,,18,4,,Yes,Poor,Yes,Good,,Yes,,,Yes (Samtrans),,,,1470,6344.331317,28695.60351,169289.2661,5963,19742,90736,0.939894167,0.687979955,0.535982003,18.60838406,0.253355705,10,89,5,455,85,Very Walkable,,,,,,484,0.771186441,3449,0.745762712,9785.625309,112902.2377,8262,57088,0.341014794,0.666919057,0.418498632,0.629165932,https://www.caltrain.com/stations/haywardparkstation.html,,,,,,
Vasco Road,VAS,,ACE,,Active,,4,Alameda,Livermore,Metropolitan Transportation Commission,Metropolitan Transportation Commission,575 South Vasco Road,37.696903,-121.718528,,,UP,,,,,,Peak hour/direction,,,,,1,,1,N/A,Yes,Yes,Shelter,No,No,No,,,,0 Machines,No,,,201,14,215,,0.830729556,16.49251271,,,17.32324227,,,Yes,,Yes,Fair,Yes,Fair,No,ACE,Yes,No,Yes (Livermore Amador Valley Transit Authority),,,,1040,1158.429732,5354.694866,41753.35903,2362,7919,32916,2.038967003,1.478889124,0.788343759,19.63458436,0.293624161,0,5,1,128,24,Car-Dependent,,,,,,257,0.254237288,1687,0.372881356,3046.381406,29168.72701,4678,28539,0.568917834,0.698595938,0.590731153,0.867025155,https://acerail.com/stations/,,,,,,
Iron Point,,SacRT,SacRT,,Active,,3,Sacramento,Folsom,Sacramento Area Council of Governments,Sacramento Area Council of Governments,,38.644603,-121.190144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,216,SacRT,,,,,,,,,,,,,,,,,,,,,,,1227.312065,3866.78163,55142.61288,1496,6436,35542,1.218923893,1.664433272,0.644546897,16.89423722,0.219798658,,,,,47,Car-Dependent,,,,,,,,,,,,,,,,,,,,,,,,
